Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,~,D_SOD-123,3.1,-1.65,90.0,bottom
D2,~,D_SOD-123,30.0675,-1.65,90.0,bottom
D3,~,D_SOD-123,41.2,-1.65,90.0,bottom
D4,~,D_SOD-123,60.25,-1.65,90.0,bottom
D5,~,D_SOD-123,79.3,-1.65,90.0,bottom
D6,~,D_SOD-123,98.35,-1.65,90.0,bottom
D7,~,D_SOD-123,117.4,-1.65,90.0,bottom
D8,~,D_SOD-123,136.45,-1.65,90.0,bottom
D9,~,D_SOD-123,155.5,-1.65,90.0,bottom
D10,~,D_SOD-123,174.55,-1.65,90.0,bottom
D11,~,D_SOD-123,3.1,-20.7,90.0,bottom
D12,~,D_SOD-123,30.0675,-20.7,90.0,bottom
D13,~,D_SOD-123,41.2,-20.7,90.0,bottom
D14,~,D_SOD-123,60.25,-20.7,90.0,bottom
D15,~,D_SOD-123,79.3,-20.7,90.0,bottom
D16,~,D_SOD-123,98.35,-20.7,90.0,bottom
D17,~,D_SOD-123,117.4,-20.7,90.0,bottom
D18,~,D_SOD-123,136.45,-20.7,90.0,bottom
D19,~,D_SOD-123,155.5,-20.7,90.0,bottom
D20,~,D_SOD-123,174.55,-20.7,90.0,bottom
D21,~,D_SOD-123,3.1,-39.75,90.0,bottom
D22,~,D_SOD-123,22.15,-39.75,90.0,bottom
D23,~,D_SOD-123,41.2,-39.75,90.0,bottom
D24,~,D_SOD-123,60.25,-39.75,90.0,bottom
D25,~,D_SOD-123,79.3,-39.75,90.0,bottom
D26,~,D_SOD-123,98.35,-39.75,90.0,bottom
D27,~,D_SOD-123,117.4,-39.75,90.0,bottom
D28,~,D_SOD-123,136.45,-39.75,90.0,bottom
D29,~,D_SOD-123,155.5,-39.75,90.0,bottom
D30,~,D_SOD-123,174.55,-39.75,90.0,bottom
D31,~,D_SOD-123,7.8625,-58.8,90.0,bottom
D32,~,D_SOD-123,22.15,-58.8,90.0,bottom
D33,~,D_SOD-123,28.575,-58.8,90.0,bottom
D34,~,D_SOD-123,48.815625,-58.8,90.0,bottom
D35,~,D_SOD-123,59.93195,-58.8,90.0,bottom
D36,~,D_SOD-123,117.4,-58.8,90.0,bottom
D37,~,D_SOD-123,122.634375,-58.8,90.0,bottom
D38,~,D_SOD-123,142.875,-58.8,90.0,bottom
D39,~,D_SOD-123,155.5,-58.8,90.0,bottom
D40,~,D_SOD-123,174.55,-58.8,90.0,bottom
JUMPER1,Jumper,R_1206_3216Metric,19.05,-8.405,180.0,bottom
JUMPER2,Jumper,R_1206_3216Metric,19.05,-10.645,0.0,bottom
RESET0,Reset Button,SW_SPST_SKQG_WithStem,32.54375,-9.525,270.0,bottom
